RedFighter,BlueFighter,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedWinsByDecision,RedWinsByKOTKO,BlueWinsByDecision,BlueWinsByKOTKO,RedUFC_Debut,BlueUFC_Debut,RedDaysSinceLastFight,BlueDaysSinceLastFight,RedCurrELO,BlueCurrELO,ExpectedValueDiff,CurrentLoseStreakDiff,CurrentWinStreakDiff,DrawsDiff,AvgSigStrLandedDiff,AvgSubAttDiff,AvgTDLandedDiff,LossesDiff,TotalRoundsFoughtDiff,TotalTitleBoutsDiff,WinsBySubmissionDiff,WinsDiff,HeightCmsDiff,ReachCmsDiff,WeightLbsDiff,AgeDiff,WinsByDecisionDiff,WinsByKOTKODiff,UFC_DebutDiff,DaysSinceLastFightDiff,CurrELODiff
Baergeng Jieleyisi,SuYoung You,0.5,0.5,2024-11-23,"Macau, China",China,0,0,Bantamweight,MALE,3,0,2,0,7.83,0.44,0.3,1.0,0.327,0,6,0,0,2,Orthodox,167.64,165.1,135,0,2,0,7.83,0.44,0.3,1.0,0.327,1,8,0,1,2,Orthodox,175.26,177.8,135,28,28,DEC,3.0,5:00,900.0,1,0,2,0,1,1,60,60,1500.0,1500.0,0.0,0,0,0,0.0,0.0,0.0,1,2,0,1,0,7.6200000000000045,12.700000000000017,0,0,-1,0,0,0,0.0
Kiru Sahota,DongHun Choi,0.5,0.5,2024-11-23,"Macau, China",China,0,0,Flyweight,MALE,3,0,2,0,5.96,0.443,0.5,1.3,0.333,0,6,0,0,2,Switch,165.1,167.64,125,0,2,0,5.96,0.443,0.5,1.3,0.333,0,6,0,0,2,Orthodox,177.8,185.42,125,29,25,KO/TKO,1.0,2:36,156.0,2,0,2,0,1,1,60,60,1500.0,1500.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,12.700000000000017,17.78,0,4,0,0,0,0,0.0
Shi Ming,Feng Xiaocan,0.5,0.5,2024-11-23,"Macau, China",China,1,0,Women's Strawweight,FEMALE,3,0,2,0,5.46,0.453,0.3,1.0,0.36,0,4,0,0,2,Southpaw,170.18,167.64,115,0,2,0,5.46,0.453,0.3,1.0,0.36,0,6,0,0,2,Orthodox,157.48,152.4,115,30,22,KO/TKO,3.0,0:46,646.0,2,0,1,1,1,1,60,60,1500.0,1500.0,0.0,0,0,0,0.0,0.0,0.0,0,2,0,0,0,-12.700000000000017,-15.23999999999998,0,8,1,-1,0,0,0.0
Nyamjargal Tumendemberel,Carlos Hernandez,0.5221044926724202,0.4778955073275798,2024-11-23,"Macau, China",China,0,0,Flyweight,MALE,3,2,0,0,0.9785714285714286,0.10454545454545455,0.043478260869565216,0.225,0.034,3,15,0,0,3,Orthodox,172.72,170.18,125,0,2,0,5.96,0.443,0.5,1.3,0.333,0,4,0,1,2,Orthodox,170.18,180.34,125,26,31,DEC,3.0,5:00,900.0,1,0,3,0,1,0,60,147,1500.0,1484.6302069833732,0.04420898534484041,-2,2,0,4.981428571428571,0.4565217391304348,1.075,-3,-11,0,1,-1,-2.539999999999992,10.159999999999997,0,-5,-2,0,1,-87,15.369793016626772
Lone'er Kavanagh,Jose Ochoa,0.5,0.5,2024-11-23,"Macau, China",China,1,0,Flyweight,MALE,3,0,0,0,5.96,0.443,0.5,1.3,0.333,0,0,0,0,0,Southpaw,170.18,170.18,125,0,1,0,5.96,0.443,0.5,1.3,0.333,0,1,0,0,1,Orthodox,162.56,170.18,125,25,23,DEC,3.0,5:00,900.0,0,1,0,0,1,1,60,60,1500.0,1500.0,0.0,0,1,0,0.0,0.0,0.0,0,1,0,0,1,-7.6200000000000045,0.0,0,2,0,1,0,0,0.0
Xiao Long,Quang Le,0.49531643926757507,0.5046835607324249,2024-11-23,"Macau, China",China,1,0,Bantamweight,MALE,3,1,0,0,1.07,0.115,0.0,0.5,0.036,1,3,0,0,0,Orthodox,167.64,177.8,135,1,0,0,4.98,0.26,0.0,0.25,0.06,2,12,0,0,2,Orthodox,172.72,177.8,135,26,33,KO/TKO,3.0,1:28,688.0,2,0,0,0,0,0,154,105,1484.0,1487.254566521467,-0.009367121464849859,0,0,0,3.91,0.0,-0.25,1,9,0,0,2,5.0800000000000125,0.0,0,-7,2,0,0,49,-3.2545665214670407
Maheshate,Nikolas Motta,0.49437018605852456,0.5056298139414754,2024-11-23,"Macau, China",China,0,0,Lightweight,MALE,3,0,1,0,0.77,0.07764705882352942,0.0,0.0,0.0,2,11,0,0,3,Orthodox,175.26,177.8,155,0,1,0,0.975,0.06588235294117648,0.0,0.0,0.0,2,12,0,0,3,Orthodox,182.88,180.34,155,24,31,DEC,3.0,5:00,900.0,2,1,1,2,0,0,210,315,1498.5838953258615,1502.4960560646266,-0.011259627882950873,0,0,0,0.20499999999999996,0.0,0.0,0,1,0,0,0,7.6200000000000045,2.539999999999992,0,-7,1,-1,0,-105,-3.912160738765124
Jon Jones,Stipe Miocic,0.6216941994564542,0.3783058005435458,2024-11-16,"New York City, New York, USA",USA,1,1,Heavyweight,MALE,5,1,0,0,8.4715023255814,0.1024022988505747,0.0011363636363636365,0.3525314606741573,0.08018888888888888,4,46,8,0,14,Orthodox,193.04,203.2,240,0,18,0,7.757508139534881,0.11590804597701151,0.10588977272727272,0.41929213483146066,0.11941111111111113,1,74,16,6,21,Orthodox,193.04,213.36,248,37,42,KO/TKO,3.0,4:29,869.0,10,5,5,9,0,0,623,1330,1731.6179684757783,1645.3244424897239,0.24338839891290842,-1,18,0,-0.7139941860465182,0.10475340909090909,0.06676067415730336,-3,28,8,6,7,0.0,10.160000000000025,8,-5,5,-4,0,-707,86.29352598605442
Charles Oliveira,Michael Chandler,0.7141295891240821,0.2858704108759179,2024-11-16,"New York City, New York, USA",USA,1,0,Lightweight,MALE,3,1,0,0,1.1066666666666667,0.10681818181818183,0.2521739130434783,0.46291666666666664,0.0784,3,14,1,1,4,Orthodox,172.72,180.34,155,1,0,0,3.2387826923076917,0.10540764331210188,0.3364139240506328,0.2687122641509435,0.069715625,10,63,3,16,22,Orthodox,177.8,187.96,155,35,38,DEC,5.0,5:00,1500.0,2,4,0,3,0,0,217,735,1668.1928034982113,1509.1496746740654,0.4282591782481642,0,0,0,2.132116025641025,0.0842400110071545,-0.19420440251572313,7,49,2,15,18,5.0800000000000125,7.6200000000000045,0,-3,2,1,0,-518,159.04312882414592
Bo Nickal,Paul Craig,0.5333336051875619,0.4666663948124381,2024-11-16,"New York City, New York, USA",USA,1,0,Middleweight,MALE,3,2,0,1,1.8960493827160492,0.10347560975609757,0.302409638554217,0.27755892857142855,0.04641176470588237,8,34,0,6,9,Orthodox,190.5,193.04,185,0,5,0,0.44727272727272727,0.155,1.7307692307692308,1.5985714285714285,0.1,0,6,0,4,5,Southpaw,185.42,193.04,185,28,36,DEC,3.0,5:00,900.0,0,1,0,3,0,0,217,196,1544.7164256718502,1521.5194571337825,0.0666672103751238,-2,5,-1,-1.448776655443322,1.4283595922150139,1.3210125,-8,-28,0,-2,-4,-5.0800000000000125,0.0,0,-8,0,-2,0,21,23.196968538067722
